order_id,customer_id,restaurant_name,city,order_datetime,delivery_time_minutes,order_amount,delivery_status
1,2086,Biryani House,Bangalore,2024-04-12 20:54:00,,,On Time
2,2015,Pasta Point,Hyderabad,2024-06-28 17:41:00,,,On Time
3,3780,Biryani House,Mumbai,2024-04-02 09:21:00,,,Late
4,3567,Sushi World,Delhi,2024-01-15 16:01:00,,,Late
5,4796,Taco Street,Bangalore,2024-04-16 21:46:00,,,Late
6,4280,Pasta Point,Bangalore,2024-03-12 08:35:00,73.0,164.0,Late
7,4280,Burger Town,Chennai,2024-01-21 20:47:00,86.0,1186.0,Late
8,4447,Sushi World,Chennai,2024-04-12 09:29:00,46.0,724.0,Late
9,1084,Sushi World,Hyderabad,2024-05-01 22:58:00,31.0,,On Time
10,1206,Spicy Hub,Bangalore,2024-03-15 09:06:00,31.0,1468.0,On Time
11,4418,Sushi World,Bangalore,2024-03-28 18:56:00,35.0,1240.0,On Time
12,4736,Burger Town,Hyderabad,2024-04-26 20:56:00,69.0,574.0,Late
13,1160,Taco Street,Delhi,2024-04-09 22:11:00,20.0,1263.0,On Time
14,1449,Burger Town,Bangalore,2024-04-13 21:02:00,63.0,544.0,Late
15,3163,Pizza Palace,Chennai,2024-05-31 13:16:00,40.0,779.0,On Time
16,1361,Sushi World,Hyderabad,2024-05-10 22:40:00,46.0,939.0,Late
17,2274,Curry Corner,Bangalore,2024-05-29 21:31:00,86.0,827.0,Late
18,3959,Pizza Palace,Chennai,2024-02-22 14:07:00,58.0,673.0,Late
19,3230,Burger Town,Mumbai,2024-01-02 20:22:00,,967.0,Late
20,3723,Biryani House,Bangalore,2024-03-28 22:37:00,43.0,1446.0,On Time
21,4399,Pizza Palace,Hyderabad,2024-06-06 22:29:00,31.0,1405.0,On Time
22,3639,Curry Corner,Chennai,2024-02-07 10:14:00,32.0,322.0,On Time
23,2030,Spicy Hub,Bangalore,2024-05-09 18:09:00,54.0,856.0,Late
24,2860,Curry Corner,Chennai,2024-01-21 16:54:00,,1256.0,Late
25,4670,Biryani House,Hyderabad,2024-06-09 12:58:00,89.0,1275.0,Late
26,4591,Taco Street,Bangalore,2024-02-27 12:56:00,59.0,,Late
27,2410,Taco Street,Hyderabad,2024-01-22 18:37:00,17.0,966.0,On Time
28,1930,Biryani House,Delhi,2024-03-29 19:14:00,17.0,1216.0,On Time
29,2393,Pizza Palace,Bangalore,2024-02-18 11:29:00,52.0,1412.0,Late
30,2571,Sushi World,Bangalore,2024-02-28 16:45:00,87.0,424.0,Late
31,1762,Spicy Hub,Chennai,2024-06-18 15:25:00,54.0,997.0,Late
